group,gene,value
Moderate/Severe,HOXB5,6.547815043
Moderate/Severe,HOXB5,6.324768594
Moderate/Severe,HOXB5,4.461124553
Moderate/Severe,HOXB5,7.535795207
Moderate/Severe,HOXB5,6.652687338
Moderate/Severe,HOXB5,7.635733083
Moderate/Severe,HOXB5,6.157414204
Moderate/Severe,HOXB5,6.037620745
Moderate/Severe,HOXB5,6.392212383
Moderate/Severe,HOXB5,6.321982383
Minimal/Mild,HOXB5,9.738179641
Minimal/Mild,HOXB5,8.890891694
Minimal/Mild,HOXB5,9.529290265
Minimal/Mild,HOXB5,9.023121482
Minimal/Mild,HOXB5,9.138022775
Minimal/Mild,HOXB5,9.035397864
Minimal/Mild,HOXB5,9.273252282
Minimal/Mild,HOXB5,8.642728632
Minimal/Mild,HOXB5,9.447561663
Minimal/Mild,HOXB5,8.46045008
Moderate/Severe,HOXB6,9.981923334
Moderate/Severe,HOXB6,9.9448275
Moderate/Severe,HOXB6,7.951982831
Moderate/Severe,HOXB6,11.06921066
Moderate/Severe,HOXB6,8.915387854
Moderate/Severe,HOXB6,10.69314929
Moderate/Severe,HOXB6,10.5559252
Moderate/Severe,HOXB6,9.172549353
Moderate/Severe,HOXB6,9.685860831
Moderate/Severe,HOXB6,10.26809798
Minimal/Mild,HOXB6,11.77189181
Minimal/Mild,HOXB6,11.30356037
Minimal/Mild,HOXB6,11.73066309
Minimal/Mild,HOXB6,11.28802723
Minimal/Mild,HOXB6,10.67061107
Minimal/Mild,HOXB6,11.41657395
Minimal/Mild,HOXB6,10.66457211
Minimal/Mild,HOXB6,10.72641044
Minimal/Mild,HOXB6,11.35837481
Minimal/Mild,HOXB6,10.5559252
Moderate/Severe,HOXB7,7.173465145
Moderate/Severe,HOXB7,6.56138165
Moderate/Severe,HOXB7,6.253457818
Moderate/Severe,HOXB7,6.429308103
Moderate/Severe,HOXB7,6.50490128
Moderate/Severe,HOXB7,7.021250932
Moderate/Severe,HOXB7,6.190295434
Moderate/Severe,HOXB7,5.734708013
Moderate/Severe,HOXB7,6.561188475
Moderate/Severe,HOXB7,6.741454662
Minimal/Mild,HOXB7,8.263269108
Minimal/Mild,HOXB7,8.160002784
Minimal/Mild,HOXB7,8.809857735
Minimal/Mild,HOXB7,9.059958282
Minimal/Mild,HOXB7,8.445856674
Minimal/Mild,HOXB7,9.38884365
Minimal/Mild,HOXB7,7.696142462
Minimal/Mild,HOXB7,8.629253481
Minimal/Mild,HOXB7,8.5420513
Minimal/Mild,HOXB7,8.403363203
Moderate/Severe,HOXB8,4.345908189
Moderate/Severe,HOXB8,4.345908189
Moderate/Severe,HOXB8,3.677590083
Moderate/Severe,HOXB8,4.345908189
Moderate/Severe,HOXB8,3.08466166
Moderate/Severe,HOXB8,4.345908189
Moderate/Severe,HOXB8,3.603342556
Moderate/Severe,HOXB8,4.345908189
Moderate/Severe,HOXB8,4.345908189
Moderate/Severe,HOXB8,3.839984544
Minimal/Mild,HOXB8,9.353850503
Minimal/Mild,HOXB8,8.523491428
Minimal/Mild,HOXB8,9.685494434
Minimal/Mild,HOXB8,10.45554455
Minimal/Mild,HOXB8,10.68139573
Minimal/Mild,HOXB8,10.70381615
Minimal/Mild,HOXB8,10.90754567
Minimal/Mild,HOXB8,10.25376488
Minimal/Mild,HOXB8,9.735154119
Minimal/Mild,HOXB8,10.19067047
Moderate/Severe,GATA2,10.65346109
Moderate/Severe,GATA2,9.899266544
Moderate/Severe,GATA2,10.65133808
Moderate/Severe,GATA2,9.579565803
Moderate/Severe,GATA2,9.745223862
Moderate/Severe,GATA2,9.331134829
Moderate/Severe,GATA2,7.859405585
Moderate/Severe,GATA2,10.58860753
Moderate/Severe,GATA2,9.574014684
Moderate/Severe,GATA2,8.766482467
Minimal/Mild,GATA2,10.369802
Minimal/Mild,GATA2,9.955252527
Minimal/Mild,GATA2,10.59212846
Minimal/Mild,GATA2,11.68472619
Minimal/Mild,GATA2,11.89132448
Minimal/Mild,GATA2,11.65815428
Minimal/Mild,GATA2,12.09438409
Minimal/Mild,GATA2,11.65640033
Minimal/Mild,GATA2,10.51034771
Minimal/Mild,GATA2,11.95930157
Moderate/Severe,SOX17,11.86243277
Moderate/Severe,SOX17,11.58909689
Moderate/Severe,SOX17,10.71136651
Moderate/Severe,SOX17,9.171773259
Moderate/Severe,SOX17,10.95985603
Moderate/Severe,SOX17,8.36769565
Moderate/Severe,SOX17,7.674766795
Moderate/Severe,SOX17,10.66886531
Moderate/Severe,SOX17,10.95142262
Moderate/Severe,SOX17,8.494595289
Minimal/Mild,SOX17,10.13043946
Minimal/Mild,SOX17,9.874254074
Minimal/Mild,SOX17,10.50874358
Minimal/Mild,SOX17,12.71902327
Minimal/Mild,SOX17,12.75654148
Minimal/Mild,SOX17,13.23923199
Minimal/Mild,SOX17,12.76181529
Minimal/Mild,SOX17,12.77170989
Minimal/Mild,SOX17,10.4825717
Minimal/Mild,SOX17,12.41263423
Moderate/Severe,FOXA2,6.758454554
Moderate/Severe,FOXA2,5.80983013
Moderate/Severe,FOXA2,4.453176013
Moderate/Severe,FOXA2,6.751272703
Moderate/Severe,FOXA2,4.78689702
Moderate/Severe,FOXA2,5.935712351
Moderate/Severe,FOXA2,4.864738784
Moderate/Severe,FOXA2,4.837326755
Moderate/Severe,FOXA2,5.478541689
Moderate/Severe,FOXA2,5.838839775
Minimal/Mild,FOXA2,9.755069051
Minimal/Mild,FOXA2,9.149292219
Minimal/Mild,FOXA2,9.258206941
Minimal/Mild,FOXA2,8.880306435
Minimal/Mild,FOXA2,9.214031549
Minimal/Mild,FOXA2,8.83713197
Minimal/Mild,FOXA2,8.642324684
Minimal/Mild,FOXA2,7.771355589
Minimal/Mild,FOXA2,8.589338615
Minimal/Mild,FOXA2,9.643792828
Moderate/Severe,HOXB2,9.50277746
Moderate/Severe,HOXB2,9.261063216
Moderate/Severe,HOXB2,8.660309835
Moderate/Severe,HOXB2,10.18287792
Moderate/Severe,HOXB2,8.468404327
Moderate/Severe,HOXB2,10.30928729
Moderate/Severe,HOXB2,9.957551089
Moderate/Severe,HOXB2,8.178531836
Moderate/Severe,HOXB2,8.863602136
Moderate/Severe,HOXB2,9.514724846
Minimal/Mild,HOXB2,12.12862391
Minimal/Mild,HOXB2,10.86500419
Minimal/Mild,HOXB2,11.56271894
Minimal/Mild,HOXB2,11.42880817
Minimal/Mild,HOXB2,11.6648842
Minimal/Mild,HOXB2,11.79358831
Minimal/Mild,HOXB2,11.19466228
Minimal/Mild,HOXB2,11.59929346
Minimal/Mild,HOXB2,11.28347918
Minimal/Mild,HOXB2,11.1128965
Moderate/Severe,MSX1,12.92894435
Moderate/Severe,MSX1,13.1001835
Moderate/Severe,MSX1,10.96429493
Moderate/Severe,MSX1,11.4237858
Moderate/Severe,MSX1,12.6781666
Moderate/Severe,MSX1,11.31035063
Moderate/Severe,MSX1,10.1716104
Moderate/Severe,MSX1,11.61041382
Moderate/Severe,MSX1,12.54770924
