group,gene,value
fertile,NGF,0.076361656
fertile,NGF,-0.16043949
fertile,NGF,2.3532257
fertile,NGF,2.6959982
fertile,NGF,0.7616272
fertile,NGF,-4.058399
fertile,NGF,-3.3601446
fertile,NGF,-3.2336302
fertile,NGF,-3.7312045
infertile,NGF,4.438779
infertile,NGF,4.3547096
infertile,NGF,4.4385624
infertile,NGF,4.269719
infertile,NGF,2.4669363
infertile,NGF,1.2923105
infertile,NGF,2.4888377
infertile,NGF,-1.2555766
infertile,NGF,-0.89391565
fertile,BDNF,-1.5592122
fertile,BDNF,-1.2770252
fertile,BDNF,-1.0080204
fertile,BDNF,-2.1591167
fertile,BDNF,-2.8984404
fertile,BDNF,-0.18416214
fertile,BDNF,-1.5511394
fertile,BDNF,-2.5702925
fertile,BDNF,-1.8020029
infertile,BDNF,1.0521488
infertile,BDNF,0.8806181
infertile,BDNF,-0.04162121
infertile,BDNF,0.6244259
infertile,BDNF,6.1473846
infertile,BDNF,4.9727592
infertile,BDNF,6.1692863
infertile,BDNF,0.35673332
infertile,BDNF,10.610877
fertile,FGF7,0.08994913
fertile,FGF7,2.0400038
fertile,FGF7,2.3943272
fertile,FGF7,1.4403577
fertile,FGF7,2.0505915
fertile,FGF7,-0.61752224
fertile,FGF7,-0.36825085
fertile,FGF7,-0.3524537
fertile,FGF7,-0.41177988
infertile,FGF7,3.5580735
infertile,FGF7,3.6696372
infertile,FGF7,3.5646677
infertile,FGF7,3.688498
infertile,FGF7,4.7501907
infertile,FGF7,6.01667
infertile,FGF7,4.7720923
infertile,FGF7,-1.1152668
infertile,FGF7,2.4788718
fertile,VCAM1,0.18455815
fertile,VCAM1,1.708029
fertile,VCAM1,1.309645
fertile,VCAM1,-0.095398664
fertile,VCAM1,1.390979
fertile,VCAM1,-0.0975616
fertile,VCAM1,0.008164644
fertile,VCAM1,0.16211247
fertile,VCAM1,0.121827364
infertile,VCAM1,1.6464555
infertile,VCAM1,-0.41052318
infertile,VCAM1,-0.33674216
infertile,VCAM1,-0.3259828
infertile,VCAM1,5.8883076
infertile,VCAM1,3.7654846
infertile,VCAM1,3.4419887
infertile,VCAM1,2.3111813
infertile,VCAM1,7.4247026
fertile,NTF3,-0.054224014
fertile,NTF3,-0.03199148
fertile,NTF3,2.4245014
fertile,NTF3,-0.09732866
fertile,NTF3,0.04425001
fertile,NTF3,-0.36001682
fertile,NTF3,-0.0814209
fertile,NTF3,0.14844322
fertile,NTF3,-0.12665272
infertile,NTF3,2.9673457
infertile,NTF3,2.735302
infertile,NTF3,3.1092453
infertile,NTF3,2.3489552
infertile,NTF3,3.9662602
infertile,NTF3,4.8468275
infertile,NTF3,3.9881616
infertile,NTF3,-0.9049902
infertile,NTF3,3.9599009
fertile,C5AR1,-0.467654
fertile,C5AR1,0.66103673
fertile,C5AR1,1.711797
fertile,C5AR1,2.0486567
fertile,C5AR1,0.53603625
fertile,C5AR1,-1.5368083
fertile,C5AR1,-3.3364298
fertile,C5AR1,-2.7165897
fertile,C5AR1,-2.6425526
infertile,C5AR1,3.2616751
infertile,C5AR1,3.3329842
infertile,C5AR1,3.5892003
infertile,C5AR1,3.630462
infertile,C5AR1,4.9727335
infertile,C5AR1,2.4388266
infertile,C5AR1,3.6353538
infertile,C5AR1,-0.12248063
infertile,C5AR1,7.001563
fertile,AGTR1,0.43924522
fertile,AGTR1,0.47893906
fertile,AGTR1,2.2669067
fertile,AGTR1,1.9780073
fertile,AGTR1,0.93163824
fertile,AGTR1,-1.1958747
fertile,AGTR1,-1.7468367
fertile,AGTR1,-1.4186897
fertile,AGTR1,-1.9087443
infertile,AGTR1,4.22631
infertile,AGTR1,4.485754
infertile,AGTR1,4.620448
infertile,AGTR1,4.702833
infertile,AGTR1,4.1415606
infertile,AGTR1,4.2383113
infertile,AGTR1,5.800167
infertile,AGTR1,-0.30161142
infertile,AGTR1,0.7807088
fertile,ITGB2,-2.061254
fertile,ITGB2,-1.8996997
fertile,ITGB2,0.089268684
fertile,ITGB2,0.50290775
fertile,ITGB2,-1.6551948
fertile,ITGB2,-1.9234209
fertile,ITGB2,-1.1433849
fertile,ITGB2,-1.3499193
fertile,ITGB2,-1.3144579
infertile,ITGB2,2.1111817
infertile,ITGB2,1.5138612
infertile,ITGB2,1.5040269
infertile,ITGB2,1.0216117
infertile,ITGB2,4.3777943
infertile,ITGB2,3.2031686
infertile,ITGB2,4.399696
infertile,ITGB2,0.67191315
infertile,ITGB2,6.779936
fertile,INSR,-1.1111498
fertile,INSR,-3.1426911
fertile,INSR,-1.0302882
fertile,INSR,-0.76410055
fertile,INSR,-3.3088202
fertile,INSR,-0.67699957
fertile,INSR,-1.9768186
fertile,INSR,-3.0206532
fertile,INSR,-2.3371835
infertile,INSR,1.2582774
infertile,INSR,1.261518
infertile,INSR,1.9812369
infertile,INSR,2.0229793
infertile,INSR,5.942977
infertile,INSR,4.7683506
infertile,INSR,5.964878
infertile,INSR,-0.001100063
infertile,INSR,4.3833246
fertile,CXCL2,1.6516448
fertile,CXCL2,0.6686603
fertile,CXCL2,0.2546035
fertile,CXCL2,-0.6175326
fertile,CXCL2,0.49547398
fertile,CXCL2,-0.22958648
fertile,CXCL2,-0.03839767
fertile,CXCL2,-0.24198711
fertile,CXCL2,-0.24750698
infertile,CXCL2,1.5080577
infertile,CXCL2,1.7628146
infertile,CXCL2,1.5709783
infertile,CXCL2,1.4362851
infertile,CXCL2,1.2130235
infertile,CXCL2,0.03839767
infertile,CXCL2,1.2349249
infertile,CXCL2,1.6912338
infertile,CXCL2,7.554405
fertile,FCGR2B,-0.19647503
fertile,FCGR2B,-0.06886673
fertile,FCGR2B,1.1962767
fertile,FCGR2B,1.2242117
fertile,FCGR2B,0.56843185
fertile,FCGR2B,-1.956984
fertile,FCGR2B,-1.611815
fertile,FCGR2B,-1.5383711
fertile,FCGR2B,-1.4784117
infertile,FCGR2B,2.8518076
infertile,FCGR2B,3.1110792
infertile,FCGR2B,3.1060867
infertile,FCGR2B,3.3348656
infertile,FCGR2B,5.3304253
infertile,FCGR2B,1.4690483
infertile,FCGR2B,2.6655755
infertile,FCGR2B,2.087492
infertile,FCGR2B,3.5515432
fertile,PTX3,0.21728373
fertile,PTX3,1.058598
fertile,PTX3,1.6578574
fertile,PTX3,-0.02829504
fertile,PTX3,1.2503686
fertile,PTX3,-1.1627326
fertile,PTX3,-0.9927621
fertile,PTX3,-1.0203424
fertile,PTX3,-1.0028539
infertile,PTX3,1.6076002
infertile,PTX3,1.8668303
infertile,PTX3,1.8374748
infertile,PTX3,1.6936188
infertile,PTX3,3.6566782
infertile,PTX3,2.461678
infertile,PTX3,3.2154887
infertile,PTX3,2.1514792
infertile,PTX3,0.17738104
fertile,FABP4,-1.7341738
fertile,FABP4,0.34975195
fertile,FABP4,1.9697022
fertile,FABP4,-2.0464325
fertile,FABP4,1.5299401
fertile,FABP4,-0.58628225
fertile,FABP4,-1.908081
fertile,FABP4,-2.9253998
fertile,FABP4,-2.1801739
infertile,FABP4,-0.75134134
infertile,FABP4,-0.030688286
infertile,FABP4,0.030688286
infertile,FABP4,0.5185423
infertile,FABP4,5.951312
infertile,FABP4,4.7766867
infertile,FABP4,5.9732137
infertile,FABP4,0.08161783
infertile,FABP4,7.815504
fertile,PNOC,-0.8126116
fertile,PNOC,-2.0956059
fertile,PNOC,0.7569423
fertile,PNOC,0.09819269
fertile,PNOC,-1.1477032
fertile,PNOC,-1.8049493
fertile,PNOC,-2.787786
fertile,PNOC,-2.3747172
fertile,PNOC,-2.952724
infertile,PNOC,0.8635702
infertile,PNOC,0.4562397
infertile,PNOC,0.99425507
infertile,PNOC,0.64641
infertile,PNOC,5.988185
infertile,PNOC,5.684223
infertile,PNOC,4.7329407
infertile,PNOC,3.1605034
infertile,PNOC,1.0630755
fertile,SEMA6D,-0.22194767
fertile,SEMA6D,-2.1659555
fertile,SEMA6D,-1.6184835
fertile,SEMA6D,-0.3408785
fertile,SEMA6D,-2.9986916
fertile,SEMA6D,-0.3243513
fertile,SEMA6D,-1.6448345
fertile,SEMA6D,-0.9165654
fertile,SEMA6D,-1.9224396
infertile,SEMA6D,1.076838
infertile,SEMA6D,0.3933239
infertile,SEMA6D,1.1023774
infertile,SEMA6D,2.6322107
infertile,SEMA6D,11.422943
infertile,SEMA6D,12.241357
infertile,SEMA6D,6.2386365
infertile,SEMA6D,0.3434105
infertile,SEMA6D,2.8558831
