,GSM175766,GSM175767,GSM175768,GSM175769,GSM175770,GSM175771,GSM175772,GSM175773,GSM175774,GSM175775,GSM175776,GSM175777,GSM175778,GSM175779,GSM175780,GSM175781,GSM175782,GSM175783,GSM175784,GSM175785
NPR1,131.85545,153.2813,190.98654,137.62964,101.6811,154.36281,170.32619,156.97177,173.97983,122.349815,37.465866,46.02396,43.234703,90.6304,56.46887,53.73007,51.222893,49.60262,48.130287,46.88265
NAMPT,874.1667,3207.0315,298.69125,667.6179,831.9144,653.0273,1112.166,1527.7882,1283.0781,426.41794,181.37268,1045.7158,187.00598,1208.7275,238.01074,332.88034,195.73581,188.3709,298.23456,197.41637
PLXNA4,161.02785,44.82869,122.51054,84.332375,73.05078,66.72048,94.90121,175.94707,165.90288,73.27454,24.097876,26.02107,28.330137,21.344404,27.832012,25.57433,25.569208,28.152817,28.547052,23.647799
FGF7P3,153.7105,75.19617,109.256615,80.54668,77.905785,68.75122,72.756096,110.57281,89.22101,46.62242,26.612072,19.205833,17.366022,49.18299,20.94916,16.395338,28.009596,16.595207,21.581593,17.8596
PROK1,1008.41046,345.80557,1116.2975,415.38083,299.55618,473.25555,730.09485,1017.76855,666.62634,419.54218,74.29116,55.330418,73.76359,212.8919,80.2661,77.28101,59.90589,55.033714,72.91339,77.41763
SOCS3,1034.2867,1193.983,201.34625,896.14087,618.7442,664.4677,656.66504,941.2964,1021.4836,477.06744,81.96575,570.66846,77.2237,879.06696,304.66782,149.49225,129.13919,65.34468,233.15369,133.40628
INHBA,579.3272,409.40414,116.16677,358.38916,368.5233,180.7545,186.58992,224.39241,262.78964,781.96234,29.80309,30.990805,19.194242,48.091366,20.777842,392.26968,43.350185,50.025475,44.899403,19.06523
ROBO2,33.70522,64.230545,109.58328,19.404383,27.202425,94.13862,80.529625,55.04925,69.4897,38.292614,23.038473,31.21589,15.37269,13.511045,25.635216,54.45445,24.402706,16.078838,20.98353,24.599295
TGFBR3,817.9915,867.29065,1675.3727,656.997,373.26028,1043.0486,978.7523,1438.122,1146.648,1146.386,141.03418,182.75981,124.147545,248.3569,148.51213,129.19937,142.09885,115.59123,135.8186,114.990685
OSMR,664.8819,549.3147,340.49274,450.00497,767.1311,267.528,390.0529,529.2117,724.70306,838.45685,176.02946,157.15437,140.19357,546.96234,155.62282,178.02531,130.02098,140.56454,204.26642,131.47556
SEMA6D,188.76193,145.48029,288.8804,164.85767,203.0316,355.5313,315.3936,296.20026,213.36955,234.7505,40.085323,29.766298,36.522186,30.72421,60.091484,31.821667,34.147984,37.365204,28.660852,37.37949
INSR,431.06665,449.68472,365.80402,320.88596,348.19104,328.61914,362.51935,386.93628,401.01392,231.14223,135.08069,162.95947,123.38412,302.02112,160.94003,164.17754,125.091896,136.65988,132.38338,140.06282
IL7R,127.709015,184.20674,55.121147,228.85646,187.80228,89.72504,109.407646,94.7664,115.80026,217.33235,41.71228,52.55214,44.399857,47.596607,39.248306,52.33292,50.586853,45.56054,55.63854,37.808197
CCL26,193.0877,60.82018,63.638508,68.61949,67.92187,46.01507,85.73585,77.82855,61.984123,92.00842,24.282627,26.952665,36.39995,34.548615,25.451567,26.383415,31.226736,42.99708,30.728043,20.939262
