,GSM175786,GSM175787,GSM175788,GSM176082,GSM176083,GSM176084,GSM176085,GSM176086,GSM176087,GSM176088,GSM176089,GSM176090,GSM176091,GSM176092,GSM176234,GSM176236,GSM176238,GSM176240,GSM176039,GSM176040,GSM176041,GSM176043,GSM176093,GSM176094,GSM176095,GSM176096,GSM176097,GSM176098,GSM176099,GSM176100,GSM176101,GSM176127,GSM176132,GSM176137,GSM176141,GSM176142,GSM176143,GSM176144,GSM176145,GSM176146,GSM176319
HSPA6,35.777752,59.244675,28.655378,34.970566,34.654167,34.63684,20.304274,35.478916,65.639595,110.108475,48.17667,43.679386,78.32897,56.322567,38.450607,35.180794,23.9099,17.484413,2.891266,13.789921,2.4474587,15.816282,9.566686,30.466593,18.760782,8.110325,25.843666,24.347193,16.421824,12.930571,13.704774,4.413198,11.088811,22.599394,12.110326,22.860977,25.201757,30.440025,16.084742,39.81974,19.051533
CXCL2,11.661747,3.2665918,3.4273076,21.199347,41.793396,7.6964693,21.205212,24.865202,13.50681,5.0700984,9.343573,11.27569,24.348755,1.4169996,1.6316575,8.6908,3.088601,6.737104,6.488465,1.2204903,5.019959,0.4524175,0.9290426,13.568418,1.8376563,1.7427986,1.1172197,3.188837,1.3116312,0.9135024,0.9545814,0.3907962,0.5921749,0.4219627,1.5906008,0.6745244,6.5776567,0.7307126,5.366638,1.9893234,14.901019
NDRG1,875.308,1069.302,795.1077,732.1944,958.8121,566.15533,823.3329,567.33105,544.7783,594.66724,618.0794,570.537,728.89124,296.64047,532.90546,371.99872,231.03416,414.0114,192.53307,486.86084,129.19966,467.38394,177.15176,319.93094,157.99937,948.443,156.53055,285.8114,174.46886,137.80121,122.28845,302.26956,159.47299,157.50597,603.7526,283.931,876.9425,657.0857,414.25082,746.0665,204.48695
LRP1,746.31665,1024.5525,963.5914,505.0189,355.85803,162.88643,333.18945,220.77524,472.92453,204.50972,219.33174,223.59508,281.91068,205.86002,365.1799,154.85031,281.11246,348.94388,151.70206,136.5519,102.51995,109.87104,122.123344,106.15814,88.73811,157.59155,125.56019,193.02109,92.259705,79.82028,112.07322,343.87,233.63278,144.52444,165.71155,115.41397,229.25381,201.9192,151.47614,180.2236,416.84082
S100A10,928.06506,1456.3956,878.2384,1284.5726,547.0467,444.32907,790.3408,794.644,1229.4805,633.8576,1082.2434,662.6862,890.57544,3076.9512,604.54816,534.9676,213.57576,309.50165,224.93152,359.86472,136.55016,420.59665,194.39249,177.03394,185.7298,895.28674,145.12038,312.29013,160.14687,143.19131,136.38281,97.13663,218.574,115.58554,709.8454,161.22272,1707.7797,639.19214,568.7288,964.2006,146.64873
CLDN4,4.784962,1.9243056,2.1315188,23.080324,3.7327828,1.5291312,2.0951765,1.8607064,12.676548,0.8761665,16.364475,1.4021202,3.9409509,3.6840534,1.4881164,1.0752114,7.2873054,2.616514,54.3145,1.288825,29.296694,34.03485,58.352585,93.42029,25.76836,412.31485,40.55416,64.53909,21.406351,24.963066,41.62387,3.3821898,3.0286567,3.3754177,366.0744,35.598038,4.043214,6.6772623,3.1180594,0.7294847,42.699432
BST2,784.1995,828.8729,487.6304,517.7388,1047.4646,504.69482,1011.2373,526.6252,458.22806,741.7911,691.57495,546.5124,503.62796,231.70071,899.88135,209.75662,151.75879,140.786,370.63068,46.171673,30.363243,37.845234,56.89562,36.665005,32.81533,79.26256,38.08097,47.83296,107.74131,68.39523,30.081158,38.43642,60.422836,79.16764,199.8497,201.23584,191.06755,68.03914,155.35782,644.133,90.94553
TNC,26.336,32.51441,11.4033375,106.52404,93.911644,15.568991,12.338541,80.59277,95.38278,18.581596,55.444557,39.861103,12.780701,164.87418,32.6943,28.921175,60.471405,41.632095,129.81264,106.29276,67.062454,396.22116,847.55457,677.7586,662.6028,129.45049,406.28848,398.7301,576.5992,355.60416,606.58496,15.376402,44.379017,525.893,678.08435,240.26997,1207.2932,901.0899,2120.8792,1095.6522,255.54141
CD14,131.84235,93.49673,85.60532,317.06354,224.68062,177.11647,83.044815,385.52844,347.23978,152.40096,190.50713,126.34067,204.51244,95.82618,118.286156,322.8173,191.82877,196.9801,73.83596,44.053898,42.383663,76.453186,99.60996,59.047832,48.142147,216.13454,95.33708,96.5824,52.30612,54.925934,156.17157,20.367495,45.690414,48.22345,202.01268,131.58557,121.58472,151.55522,99.56547,245.30524,88.84424
ENG,641.4027,731.4507,542.31665,196.32233,183.8378,107.65015,476.95044,279.1323,253.52664,222.13364,252.1155,177.13017,372.6235,331.49417,152.7101,63.931576,190.99457,111.19336,140.87932,69.43253,111.478226,141.14606,121.41958,57.23134,75.09366,155.83553,71.74179,159.84618,82.046,84.62838,101.68836,126.26247,90.2467,135.19055,107.78793,93.340065,154.15773,243.86774,131.45766,169.49327,279.82635
