	Type	PBX3	KLF4	NR4A2	EGR1
GSM1256653	Moderate/Severe	4.613971099	6.962299091	10.17997142	11.83159239
GSM1256654	Moderate/Severe	4.962488865	7.836851054	10.20564941	15.1559861
GSM1256655	Moderate/Severe	5.407212203	5.965411781	9.612283233	15.45238345
GSM1256656	Moderate/Severe	4.612187314	9.086680279	8.062651568	14.61375216
GSM1256657	Moderate/Severe	4.901704138	6.572850228	6.171143673	10.58583746
GSM1256658	Moderate/Severe	4.668312165	7.844731177	6.406553206	13.99122504
GSM1256659	Moderate/Severe	4.728286841	7.295613892	7.721271211	14.06219849
GSM1256660	Moderate/Severe	5.726547988	5.72942393	6.799338378	15.0620237
GSM1256661	Moderate/Severe	5.063430781	5.687533753	6.406553206	11.78610049
GSM1256662	Moderate/Severe	4.643067797	10.79371033	12.39550345	15.2758159
GSM1256672	Minimal/Mild	4.589134299	5.403466859	5.401558669	12.4184001
GSM1256674	Minimal/Mild	4.925016631	6.808303147	6.406553206	11.92376564
GSM1256677	Minimal/Mild	4.589134299	6.122979697	5.247557112	11.68160302
GSM1256682	Minimal/Mild	2.850555645	4.550497138	5.618143115	12.96547983
GSM1256683	Minimal/Mild	4.559168717	4.610609994	7.89022131	13.53933375
GSM1256684	Minimal/Mild	4.641706206	6.20241964	7.716813099	13.575229
GSM1256685	Minimal/Mild	2.850555645	4.139942584	5.068320842	11.48433592
GSM1256686	Minimal/Mild	3.990455636	4.737596464	5.618835436	10.5845433
GSM1256688	Minimal/Mild	4.673681693	5.167025006	5.76311001	11.11775032
GSM1256689	Minimal/Mild	4.130018521	4.515623204	6.231383414	12.20324143
