	Type	NGF	BDNF	FGF7	VCAM1	NTF3	C5AR1	AGTR1	ITGB2	INSR	CXCL2	FCGR2B	PTX3	FABP4	PNOC	SEMA6D
GSM3393500	fertile	0.076361656	-1.5592122	0.08994913	0.18455815	-0.054224014	-0.467654	0.43924522	-2.061254	-1.1111498	1.6516448	-0.19647503	0.21728373	-1.7341738	-0.8126116	-0.22194767
GSM3393501	fertile	-0.16043949	-1.2770252	2.0400038	1.708029	-0.03199148	0.66103673	0.47893906	-1.8996997	-3.1426911	0.6686603	-0.06886673	1.058598	0.34975195	-2.0956059	-2.1659555
GSM3393502	fertile	2.3532257	-1.0080204	2.3943272	2.309645	2.4245014	1.711797	2.2669067	0.089268684	-1.0302882	0.2546035	1.1962767	1.6578574	1.9697022	0.7569423	-1.6184835
GSM3393503	fertile	2.6959982	-2.1591167	1.4403577	-0.095398664	-0.09732866	2.0486567	1.9780073	0.50290775	-0.76410055	-0.6175326	1.2242117	-0.02829504	-2.0464325	0.09819269	-0.3408785
GSM3393504	fertile	0.7616272	-2.8984404	2.0505915	1.390979	0.04425001	0.53603625	0.93163824	-1.6551948	-3.3088202	0.49547398	0.56843185	1.2503686	1.5299401	-1.1477032	-2.9986916
GSM3393505	fertile	-4.058399	-0.18416214	-0.61752224	-0.0975616	-0.36001682	-1.5368083	-1.1958747	-1.9234209	-0.67699957	-0.22958648	-1.956984	-1.1627326	-0.58628225	-1.8049493	-0.3243513
GSM3393506	fertile	-3.3601446	-1.5511394	-0.36825085	0.008164644	-0.0814209	-3.3364298	-1.7468367	-1.1433849	-1.9768186	-0.03839767	-1.611815	-0.9927621	-1.908081	-2.787786	-1.6448345
GSM3393507	fertile	-3.2336302	-2.5702925	-0.3524537	0.16211247	0.14844322	-2.7165897	-1.4186897	-1.3499193	-3.0206532	-0.24198711	-1.5383711	-1.0203424	-2.9253998	-2.3747172	-0.9165654
GSM3393508	fertile	-3.7312045	-1.8020029	-0.41177988	0.121827364	-0.12665272	-2.6425526	-1.9087443	-1.3144579	-2.3371835	-0.24750698	-1.4784117	-1.0028539	-2.1801739	-2.952724	-1.9224396
GSM3393518	infertile	4.438779	1.0521488	3.5580735	1.6464555	2.9673457	3.2616751	4.22631	2.1111817	1.2582774	1.5080577	2.8518076	1.6076002	-0.75134134	0.8635702	1.076838
GSM3393519	infertile	4.3547096	0.8806181	3.6696372	-0.41052318	2.735302	3.3329842	4.485754	1.5138612	1.261518	1.7628146	3.1110792	1.8668303	-0.030688286	0.4562397	0.3933239
GSM3393520	infertile	4.4385624	-0.04162121	3.5646677	-0.33674216	3.1092453	3.5892003	4.620448	1.5040269	1.9812369	1.5709783	3.1060867	1.8374748	0.030688286	0.99425507	1.1023774
GSM3393521	infertile	4.269719	0.6244259	3.688498	-0.3259828	2.3489552	3.630462	4.702833	1.0216117	2.0229793	1.4362851	3.3348656	1.6936188	0.5185423	0.64641	2.6322107
GSM3393522	infertile	2.4669363	6.1473846	4.7501907	5.8883076	3.9662602	4.9727335	4.1415606	4.3777943	5.942977	1.2130235	5.3304253	3.6566782	5.951312	5.988185	11.422943
GSM3393523	infertile	1.2923105	4.9727592	6.01667	3.7654846	4.8468275	2.4388266	4.2383113	3.2031686	4.7683506	0.03839767	1.4690483	2.461678	4.7766867	5.684223	12.241357
GSM3393524	infertile	2.4888377	6.1692863	4.7720923	3.4419887	3.9881616	3.6353538	5.800167	4.399696	5.964878	1.2349249	2.6655755	3.2154887	5.9732137	4.7329407	6.2386365
GSM3393525	infertile	-1.2555766	0.35673332	-1.1152668	2.3111813	-0.9049902	-0.12248063	-0.30161142	0.67191315	-0.001100063	1.6912338	2.087492	2.1514792	0.08161783	3.1605034	0.3434105
GSM3393526	infertile	-0.89391565	10.610877	2.4788718	7.4247026	3.9599009	7.001563	0.7807088	6.779936	4.3833246	7.554405	3.5515432	0.17738104	7.815504	1.0630755	2.8558831
