	Type	IGF1	FGFR2	ESR1	SEMA5A
GSM3393500	fertile	-1.459362	-0.64207983	0.7600212	-0.18240023
GSM3393501	fertile	0.30604553	0.8395381	-0.2942009	0.84302664
GSM3393502	fertile	-0.85577106	0.6933112	-1.4123278	-0.6898551
GSM3393503	fertile	0.35776043	0.32059908	0.41797256	-0.9364753
GSM3393504	fertile	0.09262943	0.7077756	-0.51242256	0.65308046
GSM3393505	fertile	1.0745001	0.14563608	0.23312569	-0.014640331
GSM3393506	fertile	0.5881777	0.13664007	0.3512802	-0.11312437
GSM3393507	fertile	0.7846384	0.18114042	0.3564024	-0.003509045
GSM3393508	fertile	0.8859062	0.07220888	0.3367958	0.003509045
GSM3393518	infertile	-1.9000702	-0.11016226	-0.018906593	-2.269269
GSM3393519	infertile	-1.9421654	0.31289816	0.13545227	-2.2343574
GSM3393520	infertile	-1.7889032	0.24558496	-0.044075966	-2.2359285
GSM3393521	infertile	-1.8574052	-0.07220888	-0.07651329	-2.30444
GSM3393522	infertile	-1.7908685	-1.4075615	-2.9572072	0.30824637
GSM3393523	infertile	-2.9654944	-2.3740063	-3.8575497	-0.8663795
GSM3393524	infertile	-1.7689672	-1.3856602	-2.9001162	0.33014774
GSM3393525	infertile	-2.1129637	-0.20009756	-1.6168194	0.077928066
GSM3393526	infertile	-5.1517205	-4.7684135	-2.9002676	-3.0526056
