	Type	C3	VCAM1	ITGB2	C3AR1	CXCL2
GSM175766	endometriosis	8497.897	610.6128	199.06094	161.85077	384.94638
GSM175767	endometriosis	4997.662	465.449	239.66254	143.74782	1228.3928
GSM175768	endometriosis	5768.6777	752.3347	64.90038	85.635666	172.08282
GSM175769	endometriosis	7223.0093	726.83105	403.15765	219.28668	423.0757
GSM175770	endometriosis	10301.223	433.67117	245.82892	195.25359	278.70654
GSM175771	endometriosis	4627.1714	753.79333	193.1132	145.4329	204.86417
GSM175772	endometriosis	7252.4688	437.17798	263.97586	198.57347	407.06006
GSM175773	endometriosis	7002.864	909.9874	207.13628	158.29747	367.082
GSM175774	endometriosis	8490.866	902.96313	141.94655	133.97766	473.10846
GSM175775	endometriosis	4069.345	1118.3828	89.38913	98.83318	75.38753
GSM175776	control	297.7841	36.435806	86.23397	79.889565	32.91991
GSM175777	control	470.36865	49.88988	79.65924	73.0643	220.01566
GSM175778	control	662.98145	40.77067	75.325935	70.382484	255.8865
GSM175779	control	2760.2883	88.76779	102.08739	85.53532	116.89457
GSM175780	control	111.6215	33.098095	79.19989	79.90645	34.81827
GSM175781	control	240.40192	60.397827	71.2744	58.724663	54.611794
GSM175782	control	801.2702	54.56239	85.75662	57.310307	141.97694
GSM175783	control	396.87546	33.811535	78.02639	63.971626	34.05773
GSM175784	control	341.1148	49.208256	104.78097	78.750145	87.37108
GSM175785	control	117.75719	33.136856	62.393135	66.67373	40.957714
