	Type	C3	VCAM1	ITGB2	C3AR1	CXCL2
GSM175786	endometriosis	1704.4792	195.31522	100.95724	26.44371	11.661747
GSM175787	endometriosis	4350.774	293.93484	63.426975	16.40031	3.2665918
GSM175788	endometriosis	6628.66	192.4591	56.726604	40.033897	3.4273076
GSM176082	endometriosis	8459.541	322.20404	111.843025	77.27657	21.199347
GSM176083	endometriosis	4731.778	243.09866	129.93233	50.933258	41.793396
GSM176084	endometriosis	3807.6194	242.36145	113.46862	73.704636	7.6964693
GSM176085	endometriosis	5027.7456	357.4596	21.944912	21.308105	21.205212
GSM176086	endometriosis	7072.0396	326.98102	202.91887	98.64627	24.865202
GSM176087	endometriosis	9481.654	266.93933	129.7972	106.32644	13.50681
GSM176088	endometriosis	3799.9487	274.70093	98.10393	49.146423	5.0700984
GSM176089	endometriosis	6542.946	171.21199	135.97691	62.13103	9.343573
GSM176090	endometriosis	6589.189	313.2498	77.74325	34.170185	11.27569
GSM176091	endometriosis	8038.68	438.29742	43.937836	37.14972	24.348755
GSM176092	endometriosis	3849.5513	685.1668	58.24752	25.111036	1.4169996
GSM176234	endometriosis	1352.3904	268.06232	65.75954	36.635696	1.6316575
GSM176236	endometriosis	3267.4646	133.57103	431.52716	70.50483	8.6908
GSM176238	endometriosis	2865.2305	113.428764	96.77343	33.45834	3.088601
GSM176240	endometriosis	2802.47	101.66044	130.7272	61.441338	6.737104
GSM176039	control	156.34068	31.891956	57.871506	24.020016	6.488465
GSM176040	control	319.54788	25.274668	19.20664	39.208714	1.2204903
GSM176041	control	61.48452	18.882956	29.612959	41.57497	5.019959
GSM176043	control	763.9413	44.336315	54.436806	21.226164	0.4524175
GSM176093	control	174.40764	20.788105	43.96631	17.706705	0.9290426
GSM176094	control	257.16364	26.684456	34.20513	24.371887	13.568418
GSM176095	control	316.5584	18.12119	32.651943	3.3875492	1.8376563
GSM176096	control	1897.8365	66.61987	39.222866	23.30801	1.7427986
GSM176097	control	40.301746	15.9388	27.177809	20.54592	1.1172197
GSM176098	control	121.22172	20.436184	39.566933	14.762052	3.188837
GSM176099	control	567.45026	25.208567	43.433613	17.215601	1.3116312
GSM176100	control	157.44481	8.434032	27.531235	15.682844	0.9135024
GSM176101	control	140.18483	21.558058	42.450676	21.270636	0.9545814
GSM176127	control	35.51449	19.344454	26.415802	5.7930512	0.3907962
GSM176132	control	93.29536	47.062378	36.0974	6.483867	0.5921749
GSM176137	control	71.34582	17.029144	36.368347	22.772509	0.4219627
GSM176141	control	1024.2911	63.96551	76.58043	59.495968	1.5906008
GSM176142	control	232.44243	20.470438	53.226337	27.76141	0.6745244
GSM176143	control	1735.6613	107.95961	44.377594	33.113968	6.5776567
GSM176144	control	160.02406	55.406235	42.734806	35.925682	0.7307126
GSM176145	control	144.82178	82.86126	61.009308	39.03314	5.366638
GSM176146	control	968.5532	71.44259	103.07815	74.4975	1.9893234
GSM176319	control	70.45085	24.62105	79.89558	37.865627	14.901019
