	Type	C3	C3AR1	VCAM1	ITGB2	CXCL2
GSM572747	endometriosis	5327.5827	1162.4042	1066.325	15898.7336	1359.9157
GSM572748	endometriosis	1776.6807	256.2098	614.6417	3042.326	250.3707
GSM572749	endometriosis	9168.0019	360.7508	1160.7459	6200.7604	1190.5343
GSM572750	endometriosis	2227.395	206.9463	757.5376	3028.4262	287.2408
GSM572751	endometriosis	17327.0349	896.8046	1295.2482	7406.4217	10940.9906
GSM572758	endometriosis	5262.8373	238.4882	273.0901	4274.0798	4903.4146
GSM572759	endometriosis	1592.4713	231.1032	489.0138	4308.7051	971.6165
GSM572760	endometriosis	2440.3191	987.9306	1361.1687	13529.453	9651.2989
GSM572763	endometriosis	9651.354	1327.18	1572.3141	16315.1119	259.2326
GSM572765	endometriosis	771.0552	170.0916	527.0215	2413.5402	293.4179
GSM572752	control	72.6333	147.1706	132.2942	1580.664	341.1329
GSM572753	control	302.9438	97.535	105.65	1206.0842	107.14
GSM572754	control	1631.0521	149.6265	245.9964	2104.5893	91
GSM572755	control	268.902	112.5355	112.9806	1264.8154	115.8
GSM572756	control	237.3774	115.2889	107	1400.7726	409.0887
GSM572757	control	2125.6686	163.8065	550.3532	2408.0605	4241.0933
GSM572761	control	866.9368	289.7188	266.2029	5186.6295	776.658
GSM572762	control	377.0155	198.6391	139.1889	3428.5913	80.14
GSM572764	control	3573.5129	183.3929	178.1938	4218.5696	990.0149
