gene	type
FOXA2	TFs
TWIST2	TFs
E2F8	TFs
FOXC1	TFs
PEG3	TFs
TFCP2L1	TFs
PROX1	TFs
JUNB	TFs
SALL1	TFs
LEF1	TFs
OVOL2	TFs
HOXB5	TFs
HOXC6	TFs
SOX9	TFs
ZFPM2	TFs
SPDEF	TFs
EHF	TFs
CEBPD	TFs
ASCL1	TFs
TFAP2C	TFs
HOXB8	TFs
MSX1	TFs
ELF3	TFs
EMX2	TFs
HOXD11	TFs
GRHL1	TFs
TCF21	TFs
MEIS1	TFs
HNF1B	TFs
PAX2	TFs
HMGA1	TFs
BNC2	TFs
HOXB7	TFs
ZNF516	TFs
HOXB3	TFs
KLF2	TFs
JAZF1	TFs
ARX	TFs
DLX5	TFs
HEY2	TFs
ZNF367	TFs
ZNF395	TFs
TBX3	TFs
HOXB2	TFs
HOXA10	TFs
E2F7	TFs
TCF12	TFs
GATA2	TFs
CASZ1	TFs
HEYL	TFs
TSHZ1	TFs
LHX9	TFs
HOXB6	TFs
IRF6	TFs
FOXP1	TFs
PAX8	TFs
NPAS3	TFs
ZNF521	TFs
HLF	TFs
DACH1	TFs
NFIX	TFs
OSR2	TFs
PBX3	TFs
GATA4	TFs
EGR1	TFs
HOXA5	TFs
ZNF540	TFs
HOXA3	TFs
SOX17	TFs
FOSB	TFs
GRHL2	TFs
HEY1	TFs
MSX2	TFs
PRDM1	TFs
RUNX2	TFs
HOXD10	TFs
FOXM1	TFs
GATA6	TFs
ZNF275	TFs
KLF4	TFs
DLX6	TFs
MECOM	TFs
HOXA11	TFs
MKX	TFs
HOXC4	TFs
IL7R	IRGs
BDNF	IRGs
IL17RB	IRGs
OSMR	IRGs
AGTR1	IRGs
LTBP2	IRGs
GREM2	IRGs
PTN	IRGs
BMP6	IRGs
FGF7P3	IRGs
CCL8	IRGs
TNFSF13B	IRGs
ENG	IRGs
CCL26	IRGs
IGF1	IRGs
VCAM1	IRGs
IL4R	IRGs
C3AR1	IRGs
PTX3	IRGs
ROBO2	IRGs
HMOX1	IRGs
IGHM	IRGs
ITGB2	IRGs
PDGFRL	IRGs
INSR	IRGs
VEGFA	IRGs
TYROBP	IRGs
HLA-DRA	IRGs
GDF7	IRGs
NPR1	IRGs
IGLC1	IRGs
TNC	IRGs
EDNRA	IRGs
TGFBR3	IRGs
PDGFD	IRGs
SERPINA3	IRGs
EDN3	IRGs
THBS1	IRGs
IGLJ3	IRGs
CRABP2	IRGs
CMTM6	IRGs
NGF	IRGs
SOCS3	IRGs
RXFP1	IRGs
TNFSF14	IRGs
NRP2	IRGs
FGFR2	IRGs
LYZ	IRGs
CHIT1	IRGs
NAMPT	IRGs
PTGER2	IRGs
CTSL	IRGs
BST2	IRGs
IL6ST	IRGs
FGFR3	IRGs
FABP4	IRGs
SEMA6D	IRGs
INHBA	IRGs
FCGR2B	IRGs
CLDN4	IRGs
NTF3	IRGs
DEFB1	IRGs
C5AR1	IRGs
HSPA6	IRGs
PDGFRA	IRGs
TNFAIP3	IRGs
ADM	IRGs
PROK1	IRGs
TRH	IRGs
CCL2	IRGs
CD22	IRGs
TXK	IRGs
ADCYAP1R1	IRGs
LRP1	IRGs
PNOC	IRGs
NRTN	IRGs
ROBO3	IRGs
BIRC5	IRGs
INHA	IRGs
SCG2	IRGs
SEMA3C	IRGs
PTGDR	IRGs
IGKC	IRGs
ANOS1	IRGs
SLPI	IRGs
ANGPT1	IRGs
FGF7	IRGs
WFDC2	IRGs
CXCL2	IRGs
IL20RA	IRGs
NDRG1	IRGs
IGLV1-44	IRGs
PLA2G2A	IRGs
SEMA5A	IRGs
S100A10	IRGs
MSR1	IRGs
PLXNA4	IRGs
NRG2	IRGs
TRDV3	IRGs
GNLY	IRGs
C3	IRGs
CD14	IRGs
