Names	total	elements
DEIRGs DETFs	9	RORB
		NR4A3
		NR4A2
		NR0B1
		PPARG
		PGR
		NR1H4
		NR4A1
		ESR1
DETFs	85	FOXA2
		TWIST2
		E2F8
		FOXC1
		PEG3
		TFCP2L1
		PROX1
		JUNB
		SALL1
		LEF1
		OVOL2
		HOXB5
		HOXC6
		SOX9
		ZFPM2
		SPDEF
		EHF
		CEBPD
		ASCL1
		TFAP2C
		HOXB8
		MSX1
		ELF3
		EMX2
		HOXD11
		GRHL1
		TCF21
		MEIS1
		HNF1B
		PAX2
		HMGA1
		BNC2
		HOXB7
		ZNF516
		HOXB3
		KLF2
		JAZF1
		ARX
		DLX5
		HEY2
		ZNF367
		ZNF395
		TBX3
		HOXB2
		HOXA10
		E2F7
		TCF12
		GATA2
		CASZ1
		HEYL
		TSHZ1
		LHX9
		HOXB6
		IRF6
		FOXP1
		PAX8
		NPAS3
		ZNF521
		HLF
		DACH1
		NFIX
		OSR2
		PBX3
		GATA4
		EGR1
		HOXA5
		ZNF540
		HOXA3
		SOX17
		FOSB
		GRHL2
		HEY1
		MSX2
		PRDM1
		RUNX2
		HOXD10
		FOXM1
		GATA6
		ZNF275
		KLF4
		DLX6
		MECOM
		HOXA11
		MKX
		HOXC4
DEIRGs	102	IL7R
		BDNF
		IL17RB
		OSMR
		AGTR1
		LTBP2
		GREM2
		PTN
		BMP6
		FGF7P3
		CCL8
		TNFSF13B
		ENG
		CCL26
		IGF1
		VCAM1
		IL4R
		C3AR1
		PTX3
		ROBO2
		HMOX1
		IGHM
		ITGB2
		PDGFRL
		INSR
		VEGFA
		TYROBP
		HLA-DRA
		GDF7
		NPR1
		IGLC1
		TNC
		EDNRA
		TGFBR3
		PDGFD
		SERPINA3
		EDN3
		THBS1
		IGLJ3
		CRABP2
		CMTM6
		NGF
		SOCS3
		RXFP1
		TNFSF14
		NRP2
		FGFR2
		LYZ
		CHIT1
		NAMPT
		PTGER2
		CTSL
		BST2
		IL6ST
		FGFR3
		FABP4
		SEMA6D
		INHBA
		FCGR2B
		CLDN4
		NTF3
		DEFB1
		C5AR1
		HSPA6
		PDGFRA
		TNFAIP3
		ADM
		PROK1
		TRH
		CCL2
		CD22
		TXK
		ADCYAP1R1
		LRP1
		PNOC
		NRTN
		ROBO3
		BIRC5
		INHA
		SCG2
		SEMA3C
		PTGDR
		IGKC
		ANOS1
		SLPI
		ANGPT1
		FGF7
		WFDC2
		CXCL2
		IL20RA
		NDRG1
		IGLV1-44
		PLA2G2A
		SEMA5A
		S100A10
		MSR1
		PLXNA4
		NRG2
		TRDV3
		GNLY
		C3
		CD14
